 #mass            theta           
   0.00000030000   0.00100000000
  #Global X        distance        pnn             pmn             pnm             pmm             
   0.000000E+000   0.000000E+000   1.000000E+000   0.000000E+000   0.000000E+000   0.000000E+000
   4.800000E-005   2.400000E-005   1.022764E-005   1.817046E-006   1.817046E-006   3.808972E-007
   1.440000E-004   4.800000E-005   1.101649E-010  -3.284788E-010  -3.284788E-010   3.816689E-007
   2.880000E-004   7.200000E-005   1.353272E-013   1.357844E-010   1.357844E-010   3.816610E-007
   4.800000E-004   9.600000E-005   1.455875E-013   1.553476E-010   1.553476E-010   3.816593E-007
   7.200000E-004   1.200000E-004   1.456657E-013   1.553816E-010   1.553816E-010   3.816577E-007
   1.008000E-003   1.440000E-004   1.456651E-013   1.553808E-010   1.553808E-010   3.816560E-007
   1.344000E-003   1.680000E-004   1.456645E-013   1.553802E-010   1.553802E-010   3.816543E-007
   1.728000E-003   1.920000E-004   1.456638E-013   1.553795E-010   1.553795E-010   3.816527E-007
   2.160000E-003   2.160000E-004   1.456632E-013   1.553788E-010   1.553788E-010   3.816510E-007
   2.640000E-003   2.400000E-004   1.456626E-013   1.553781E-010   1.553781E-010   3.816493E-007
   3.168000E-003   2.640000E-004   1.456619E-013   1.553774E-010   1.553774E-010   3.816476E-007
   3.744000E-003   2.880000E-004   1.456613E-013   1.553767E-010   1.553767E-010   3.816460E-007
   4.368000E-003   3.120000E-004   1.456606E-013   1.553761E-010   1.553761E-010   3.816443E-007
   5.040000E-003   3.360000E-004   1.456600E-013   1.553754E-010   1.553754E-010   3.816426E-007
   5.760000E-003   3.600000E-004   1.456594E-013   1.553747E-010   1.553747E-010   3.816409E-007
   6.528000E-003   3.840000E-004   1.456587E-013   1.553740E-010   1.553740E-010   3.816393E-007
   7.344000E-003   4.080000E-004   1.456581E-013   1.553733E-010   1.553733E-010   3.816376E-007
   8.208000E-003   4.320000E-004   1.456575E-013   1.553727E-010   1.553727E-010   3.816359E-007
   9.120000E-003   4.560000E-004   1.456568E-013   1.553720E-010   1.553720E-010   3.816342E-007
   1.008000E-002   4.800000E-004   1.456562E-013   1.553713E-010   1.553713E-010   3.816326E-007
   1.108800E-002   5.040000E-004   1.456555E-013   1.553706E-010   1.553706E-010   3.816309E-007
   1.214400E-002   5.280000E-004   1.456549E-013   1.553699E-010   1.553699E-010   3.816292E-007
   1.324800E-002   5.520000E-004   1.456543E-013   1.553693E-010   1.553693E-010   3.816275E-007
   1.440000E-002   5.760000E-004   1.456536E-013   1.553686E-010   1.553686E-010   3.816259E-007
   1.560000E-002   6.000000E-004   1.456530E-013   1.553679E-010   1.553679E-010   3.816242E-007
   1.684800E-002   6.240000E-004   1.456523E-013   1.553672E-010   1.553672E-010   3.816225E-007
   1.814400E-002   6.480000E-004   1.456517E-013   1.553665E-010   1.553665E-010   3.816209E-007
   1.948800E-002   6.720000E-004   1.456511E-013   1.553658E-010   1.553658E-010   3.816192E-007
   2.088000E-002   6.960000E-004   1.456504E-013   1.553652E-010   1.553652E-010   3.816175E-007
   2.232000E-002   7.200000E-004   1.456498E-013   1.553645E-010   1.553645E-010   3.816158E-007
   2.380800E-002   7.440000E-004   1.456492E-013   1.553638E-010   1.553638E-010   3.816142E-007
   2.534400E-002   7.680000E-004   1.456485E-013   1.553631E-010   1.553631E-010   3.816125E-007
   2.692800E-002   7.920000E-004   1.456479E-013   1.553624E-010   1.553624E-010   3.816108E-007
   2.856000E-002   8.160000E-004   1.456472E-013   1.553618E-010   1.553618E-010   3.816091E-007
   3.024000E-002   8.400000E-004   1.456466E-013   1.553611E-010   1.553611E-010   3.816075E-007
   3.196800E-002   8.640000E-004   1.456460E-013   1.553604E-010   1.553604E-010   3.816058E-007
   3.374400E-002   8.880000E-004   1.456453E-013   1.553597E-010   1.553597E-010   3.816041E-007
   3.556800E-002   9.120000E-004   1.456447E-013   1.553590E-010   1.553590E-010   3.816024E-007
   3.744000E-002   9.360000E-004   1.456440E-013   1.553584E-010   1.553584E-010   3.816008E-007
   3.936000E-002   9.600000E-004   1.456434E-013   1.553577E-010   1.553577E-010   3.815991E-007
   4.132800E-002   9.840000E-004   1.456428E-013   1.553570E-010   1.553570E-010   3.815974E-007
   4.334400E-002   1.008000E-003   1.456421E-013   1.553563E-010   1.553563E-010   3.815957E-007
   4.540800E-002   1.032000E-003   1.456415E-013   1.553556E-010   1.553556E-010   3.815941E-007
   4.752000E-002   1.056000E-003   1.456408E-013   1.553549E-010   1.553549E-010   3.815924E-007
   4.968000E-002   1.080000E-003   1.456402E-013   1.553543E-010   1.553543E-010   3.815907E-007
   5.188800E-002   1.104000E-003   1.456396E-013   1.553536E-010   1.553536E-010   3.815891E-007
   5.414400E-002   1.128000E-003   1.456389E-013   1.553529E-010   1.553529E-010   3.815874E-007
   5.644800E-002   1.152000E-003   1.456383E-013   1.553522E-010   1.553522E-010   3.815857E-007
   5.880000E-002   1.176000E-003   1.456377E-013   1.553515E-010   1.553515E-010   3.815840E-007
   6.120000E-002   1.200000E-003   1.456370E-013   1.553509E-010   1.553509E-010   3.815824E-007
   6.364800E-002   1.224000E-003   1.456364E-013   1.553502E-010   1.553502E-010   3.815807E-007
   6.614400E-002   1.248000E-003   1.456357E-013   1.553495E-010   1.553495E-010   3.815790E-007
   6.868800E-002   1.272000E-003   1.456351E-013   1.553488E-010   1.553488E-010   3.815773E-007
   7.128000E-002   1.296000E-003   1.456345E-013   1.553481E-010   1.553481E-010   3.815757E-007
   7.392000E-002   1.320000E-003   1.456338E-013   1.553474E-010   1.553474E-010   3.815740E-007
   7.660800E-002   1.344000E-003   1.456332E-013   1.553468E-010   1.553468E-010   3.815723E-007
   7.934400E-002   1.368000E-003   1.456325E-013   1.553461E-010   1.553461E-010   3.815706E-007
   8.212800E-002   1.392000E-003   1.456319E-013   1.553454E-010   1.553454E-010   3.815690E-007
   8.496000E-002   1.416000E-003   1.456313E-013   1.553447E-010   1.553447E-010   3.815673E-007
   8.784000E-002   1.440000E-003   1.456306E-013   1.553440E-010   1.553440E-010   3.815656E-007
   9.076800E-002   1.464000E-003   1.456300E-013   1.553434E-010   1.553434E-010   3.815640E-007
   9.374400E-002   1.488000E-003   1.456294E-013   1.553427E-010   1.553427E-010   3.815623E-007
   9.676800E-002   1.512000E-003   1.456287E-013   1.553420E-010   1.553420E-010   3.815606E-007
   9.984000E-002   1.536000E-003   1.456281E-013   1.553413E-010   1.553413E-010   3.815589E-007
   1.029600E-001   1.560000E-003   1.456274E-013   1.553406E-010   1.553406E-010   3.815573E-007
   1.061280E-001   1.584000E-003   1.456268E-013   1.553400E-010   1.553400E-010   3.815556E-007
   1.093440E-001   1.608000E-003   1.456262E-013   1.553393E-010   1.553393E-010   3.815539E-007
   1.126080E-001   1.632000E-003   1.456255E-013   1.553386E-010   1.553386E-010   3.815522E-007
   1.159200E-001   1.656000E-003   1.456249E-013   1.553379E-010   1.553379E-010   3.815506E-007
   1.192800E-001   1.680000E-003   1.456242E-013   1.553372E-010   1.553372E-010   3.815489E-007
   1.226880E-001   1.704000E-003   1.456236E-013   1.553365E-010   1.553365E-010   3.815472E-007
   1.261440E-001   1.728000E-003   1.456230E-013   1.553359E-010   1.553359E-010   3.815455E-007
   1.296480E-001   1.752000E-003   1.456223E-013   1.553352E-010   1.553352E-010   3.815439E-007
   1.332000E-001   1.776000E-003   1.456217E-013   1.553345E-010   1.553345E-010   3.815422E-007
   1.368000E-001   1.800000E-003   1.456210E-013   1.553338E-010   1.553338E-010   3.815405E-007
   1.404480E-001   1.824000E-003   1.456204E-013   1.553331E-010   1.553331E-010   3.815389E-007
