 #mass            theta           
   0.00000030000   0.01000000000
  #Global X        distance        pnn             pmn             pnm             pmm             
   0.000000E+000   0.000000E+000   1.000000E+000   0.000000E+000   0.000000E+000   0.000000E+000
   4.800000E-005   2.400000E-005   1.045092E-005   1.832888E-005   1.832888E-005   3.808387E-005
   1.440000E-004   4.800000E-005   2.107372E-009   1.505271E-007   1.505271E-007   3.814459E-005
   2.880000E-004   7.200000E-005   1.454448E-009   1.550566E-007   1.550566E-007   3.812723E-005
   4.800000E-004   9.600000E-005   1.454939E-009   1.551841E-007   1.551841E-007   3.811051E-005
   7.200000E-004   1.200000E-004   1.454309E-009   1.551164E-007   1.551164E-007   3.809380E-005
   1.008000E-003   1.440000E-004   1.453671E-009   1.550484E-007   1.550484E-007   3.807709E-005
   1.344000E-003   1.680000E-004   1.453034E-009   1.549804E-007   1.549804E-007   3.806039E-005
   1.728000E-003   1.920000E-004   1.452397E-009   1.549124E-007   1.549124E-007   3.804370E-005
   2.160000E-003   2.160000E-004   1.451760E-009   1.548445E-007   1.548445E-007   3.802701E-005
   2.640000E-003   2.400000E-004   1.451123E-009   1.547765E-007   1.547765E-007   3.801034E-005
   3.168000E-003   2.640000E-004   1.450486E-009   1.547087E-007   1.547087E-007   3.799367E-005
   3.744000E-003   2.880000E-004   1.449850E-009   1.546408E-007   1.546408E-007   3.797700E-005
   4.368000E-003   3.120000E-004   1.449214E-009   1.545730E-007   1.545730E-007   3.796035E-005
   5.040000E-003   3.360000E-004   1.448579E-009   1.545052E-007   1.545052E-007   3.794370E-005
   5.760000E-003   3.600000E-004   1.447944E-009   1.544374E-007   1.544374E-007   3.792706E-005
   6.528000E-003   3.840000E-004   1.447309E-009   1.543697E-007   1.543697E-007   3.791043E-005
   7.344000E-003   4.080000E-004   1.446674E-009   1.543020E-007   1.543020E-007   3.789380E-005
   8.208000E-003   4.320000E-004   1.446039E-009   1.542343E-007   1.542343E-007   3.787718E-005
   9.120000E-003   4.560000E-004   1.445405E-009   1.541667E-007   1.541667E-007   3.786057E-005
   1.008000E-002   4.800000E-004   1.444771E-009   1.540991E-007   1.540991E-007   3.784397E-005
   1.108800E-002   5.040000E-004   1.444138E-009   1.540315E-007   1.540315E-007   3.782737E-005
   1.214400E-002   5.280000E-004   1.443504E-009   1.539640E-007   1.539640E-007   3.781078E-005
   1.324800E-002   5.520000E-004   1.442871E-009   1.538964E-007   1.538964E-007   3.779420E-005
   1.440000E-002   5.760000E-004   1.442238E-009   1.538289E-007   1.538289E-007   3.777762E-005
