 #mass            theta           
   0.00000030000   0.10000000000
  #Global X        distance        pnn             pmn             pnm             pmm             
   0.000000E+000   0.000000E+000   1.000000E+000   0.000000E+000   0.000000E+000   0.000000E+000
   4.800000E-005   2.400000E-005   4.767089E-005   3.420671E-004   3.420671E-004   3.747011E-003
   1.440000E-004   4.800000E-005   1.415316E-005   1.489027E-004   1.489027E-004   3.590924E-003
   2.880000E-004   7.200000E-005   1.347374E-005   1.423607E-004   1.423607E-004   3.433130E-003
   4.800000E-004   9.600000E-005   1.288198E-005   1.361092E-004   1.361092E-004   3.282324E-003
   7.200000E-004   1.200000E-004   1.231612E-005   1.301304E-004   1.301304E-004   3.138144E-003
   1.008000E-003   1.440000E-004   1.177511E-005   1.244142E-004   1.244142E-004   3.000296E-003
   1.344000E-003   1.680000E-004   1.125788E-005   1.189491E-004   1.189491E-004   2.868504E-003
   1.728000E-003   1.920000E-004   1.076336E-005   1.137241E-004   1.137241E-004   2.742501E-003
   2.160000E-003   2.160000E-004   1.029056E-005   1.087286E-004   1.087286E-004   2.622032E-003
   2.640000E-003   2.400000E-004   9.838533E-006   1.039526E-004   1.039526E-004   2.506856E-003
   3.168000E-003   2.640000E-004   9.406361E-006   9.938629E-005   9.938629E-005   2.396738E-003
   3.744000E-003   2.880000E-004   8.993173E-006   9.502061E-005   9.502061E-005   2.291458E-003
   4.368000E-003   3.120000E-004   8.598135E-006   9.084669E-005   9.084669E-005   2.190802E-003
   5.040000E-003   3.360000E-004   8.220449E-006   8.685612E-005   8.685612E-005   2.094568E-003
   5.760000E-003   3.600000E-004   7.859354E-006   8.304083E-005   8.304083E-005   2.002561E-003
   6.528000E-003   3.840000E-004   7.514121E-006   7.939315E-005   7.939315E-005   1.914596E-003
   7.344000E-003   4.080000E-004   7.184052E-006   7.590569E-005   7.590569E-005   1.830495E-003
   8.208000E-003   4.320000E-004   6.868482E-006   7.257142E-005   7.257142E-005   1.750087E-003
   9.120000E-003   4.560000E-004   6.566774E-006   6.938361E-005   6.938361E-005   1.673212E-003
   1.008000E-002   4.800000E-004   6.278319E-006   6.633584E-005   6.633584E-005   1.599714E-003
   1.108800E-002   5.040000E-004   6.002535E-006   6.342194E-005   6.342194E-005   1.529444E-003
   1.214400E-002   5.280000E-004   5.738864E-006   6.063604E-005   6.063604E-005   1.462261E-003
   1.324800E-002   5.520000E-004   5.486777E-006   5.797251E-005   5.797251E-005   1.398029E-003
   1.440000E-002   5.760000E-004   5.245762E-006   5.542599E-005   5.542599E-005   1.336619E-003
   1.560000E-002   6.000000E-004   5.015334E-006   5.299132E-005   5.299132E-005   1.277906E-003
   1.684800E-002   6.240000E-004   4.795028E-006   5.066360E-005   5.066360E-005   1.221772E-003
