#            Wabs           rho_11           rho_22              abs
  1.00000000E-015  9.38668637E-001  6.12702266E-002  6.68455349E-005
  1.12201846E-015  9.38661427E-001  6.12699767E-002  7.50016180E-005
  1.25892542E-015  9.38653338E-001  6.12696964E-002  8.41528146E-005
  1.41253756E-015  9.38644262E-001  6.12693818E-002  9.44205271E-005
  1.58489320E-015  9.38634078E-001  6.12690289E-002  1.05940963E-004
  1.77827941E-015  9.38622652E-001  6.12686329E-002  1.18866946E-004
  1.99526237E-015  9.38609832E-001  6.12681885E-002  1.33369944E-004
  2.23872111E-015  9.38595448E-001  6.12676900E-002  1.49642314E-004
  2.51188647E-015  9.38579309E-001  6.12671307E-002  1.67899910E-004
  2.81838285E-015  9.38561201E-001  6.12665031E-002  1.88384860E-004
  3.16227766E-015  9.38540884E-001  6.12657990E-002  2.11368866E-004
  3.54813399E-015  9.38518088E-001  6.12650090E-002  2.37156716E-004
  3.98107192E-015  9.38492512E-001  6.12641226E-002  2.66090369E-004
  4.46683568E-015  9.38463816E-001  6.12631280E-002  2.98553424E-004
  5.01187220E-015  9.38431619E-001  6.12620122E-002  3.34976359E-004
  5.62341325E-015  9.38395495E-001  6.12607603E-002  3.75841985E-004
  6.30957362E-015  9.38354965E-001  6.12593557E-002  4.21691984E-004
  7.07945823E-015  9.38309491E-001  6.12577797E-002  4.73134026E-004
  7.94328191E-015  9.38258472E-001  6.12560116E-002  5.30849725E-004
  8.91250914E-015  9.38201231E-001  6.12540279E-002  5.95603911E-004
  1.00000000E-014  9.38137009E-001  6.12518023E-002  6.68254310E-004
  1.12201833E-014  9.38064956E-001  6.12493053E-002  7.49763011E-004
  1.25892548E-014  9.37984119E-001  6.12465039E-002  8.41209584E-004
  1.41253747E-014  9.37893425E-001  6.12433610E-002  9.43804122E-004
  1.58489337E-014  9.37791676E-001  6.12398351E-002  1.05890482E-003
  1.77827941E-014  9.37677526E-001  6.12358794E-002  1.18803384E-003
  1.99526210E-014  9.37549463E-001  6.12314417E-002  1.33289910E-003
  2.23872126E-014  9.37405795E-001  6.12264634E-002  1.49541597E-003
  2.51188629E-014  9.37244624E-001  6.12208786E-002  1.67773098E-003
  2.81838324E-014  9.37063820E-001  6.12146137E-002  1.88225266E-003
  3.16227766E-014  9.36860996E-001  6.12075861E-002  2.11167933E-003
  3.54813350E-014  9.36633477E-001  6.11997030E-002  2.36903748E-003
  3.98107192E-014  9.36378263E-001  6.11908606E-002  2.65771976E-003
  4.46683568E-014  9.36091991E-001  6.11809426E-002  2.98152640E-003
  5.01187289E-014  9.35770893E-001  6.11698186E-002  3.34471914E-003
  5.62341325E-014  9.35410749E-001  6.11573424E-002  3.75206964E-003
  6.30957275E-014  9.35006826E-001  6.11433504E-002  4.20892617E-003
  7.07945823E-014  9.34553826E-001  6.11276593E-002  4.72127945E-003
  7.94328191E-014  9.34045815E-001  6.11100641E-002  5.29583412E-003
  8.91251036E-014  9.33476148E-001  6.10903349E-002  5.94010177E-003
  1.00000000E-013  9.32837390E-001  6.10682148E-002  6.66248350E-003
  1.12201833E-013  9.32121215E-001  6.10434163E-002  7.47238412E-003
  1.25892514E-013  9.31318314E-001  6.10156179E-002  8.38032137E-003
  1.41253785E-013  9.30418269E-001  6.09844600E-002  9.39806002E-003
  1.58489337E-013  9.29409451E-001  6.09495415E-002  1.05387329E-002
  1.77827941E-013  9.28278850E-001  6.09104140E-002  1.18170251E-002
  1.99526210E-013  9.27011946E-001  6.08665770E-002  1.32493266E-002
  2.23872065E-013  9.25592531E-001  6.08174727E-002  1.48539238E-002
  2.51188698E-013  9.24002520E-001  6.07624790E-002  1.66512143E-002
  2.81838324E-013  9.22221784E-001  6.07009041E-002  1.86638948E-002
  3.16227766E-013  9.20227882E-001  6.06319778E-002  2.09172556E-002
  3.54813350E-013  9.17995860E-001  6.05548444E-002  2.34394085E-002
  3.98107083E-013  9.15497986E-001  6.04685545E-002  2.62615765E-002
  4.46683690E-013  9.12703465E-001  6.03720555E-002  2.94184084E-002
  5.01187289E-013  9.09578210E-001  6.02641840E-002  3.29482338E-002
  5.62341325E-013  9.06084455E-001  6.01436543E-002  3.68934824E-002
  6.30957275E-013  9.02180499E-001  6.00090494E-002  4.13009658E-002
  7.07945629E-013  8.97820368E-001  5.98588118E-002  4.62222355E-002
  7.94328409E-013  8.92953477E-001  5.96912327E-002  5.17139504E-002
  8.91251036E-013  8.87524412E-001  5.95044469E-002  5.78380931E-002
  1.00000000E-012  8.81472503E-001  5.92964208E-002  6.46624223E-002
  1.12201833E-012  8.74731658E-001  5.90649493E-002  7.22606165E-002
  1.25892514E-012  8.67230150E-001  5.88076528E-002  8.07124736E-002
  1.41253785E-012  8.58890457E-001  5.85219759E-002  9.01040298E-002
  1.58489337E-012  8.49629424E-001  5.82051992E-002  1.00527309E-001
  1.77827941E-012  8.39358173E-001  5.78544423E-002  1.12080339E-001
  1.99526210E-012  8.27982606E-001  5.74666901E-002  1.24866489E-001
  2.23872065E-012  8.15403964E-001  5.70388209E-002  1.38993720E-001
  2.51188698E-012  8.01519677E-001  5.65676478E-002  1.54573497E-001
  2.81838324E-012  7.86224937E-001  5.60499850E-002  1.71718853E-001
  3.16227766E-012  7.69414085E-001  5.54827117E-002  1.90542660E-001
  3.54813350E-012  7.50983208E-001  5.48628770E-002  2.11154511E-001
  3.98107083E-012  7.30833067E-001  5.41878198E-002  2.33657211E-001
  4.46683690E-012  7.08872728E-001  5.34553125E-002  2.58142485E-001
  5.01187289E-012  6.85024534E-001  5.26637507E-002  2.84685177E-001
  5.62341325E-012  6.59228902E-001  5.18123367E-002  3.13337677E-001
  6.30957275E-012  6.31451028E-001  5.09013232E-002  3.44122249E-001
  7.07945629E-012  6.01687905E-001  4.99322619E-002  3.77023113E-001
  7.94328409E-012  5.69975967E-001  4.89082621E-002  4.11977944E-001
  8.91251036E-012  5.36399905E-001  4.78342715E-002  4.48868276E-001
  1.00000000E-011  5.01099952E-001  4.67172831E-002  4.87511851E-001
  1.12201895E-011  4.64279874E-001  4.55665322E-002  5.27654531E-001
  1.25892514E-011  4.26213865E-001  4.43936114E-002  5.68963872E-001
  1.41253785E-011  3.87248280E-001  4.32123655E-002  6.11028827E-001
  1.58489250E-011  3.47804459E-001  4.20387471E-002  6.53358882E-001
  1.77827941E-011  3.08370989E-001  4.08902632E-002  6.95395211E-001
  1.99526319E-011  2.69495468E-001  3.97853132E-002  7.36522929E-001
  2.23872065E-011  2.31765490E-001  3.87421117E-002  7.76095310E-001
  2.51188698E-011  1.95782360E-001  3.77773269E-002  8.13465750E-001
  2.81838169E-011  1.62131506E-001  3.69045764E-002  8.48022879E-001
  3.16227766E-011  1.31342569E-001  3.61326615E-002  8.79235399E-001
  3.54813545E-011  1.03852498E-001  3.54639937E-002  9.06691997E-001
  3.98107083E-011  7.99676688E-002  3.48932321E-002  9.30139651E-001
  4.46683690E-011  5.98344056E-002  3.44065143E-002  9.49510042E-001
  5.01187014E-011  4.34249086E-002  3.39815729E-002  9.64926990E-001
  5.62341325E-011  3.05379399E-002  3.35888008E-002  9.76695908E-001
  6.30957622E-011  2.08219844E-002  3.31934382E-002  9.85269144E-001
  7.07945629E-011  1.38147084E-002  3.27585975E-002  9.91195203E-001
  7.94328409E-011  8.99533905E-003  3.22487679E-002  9.95057620E-001
  8.91250547E-011  5.84097715E-003  3.16332761E-002  9.97414435E-001
  1.00000000E-010  3.87544254E-003  3.08889730E-002  9.98750206E-001
  1.12201895E-010  2.70364603E-003  3.00018039E-002  9.99447162E-001
  1.25892514E-010  2.02622084E-003  2.89669183E-002  9.99778621E-001
  1.41253785E-010  1.63605400E-003  2.77874879E-002  9.99920718E-001
  1.58489250E-010  1.40219425E-003  2.64728253E-002  9.99974950E-001
  1.77827941E-010  1.24855427E-003  2.50361434E-002  9.99993124E-001
  1.99526319E-010  1.13403032E-003  2.34928614E-002  9.99998388E-001
  2.23872065E-010  1.03755666E-003  2.18595050E-002  9.99999683E-001
  2.51188698E-010  9.48709521E-004  2.01533617E-002  9.99999949E-001
  2.81838169E-010  8.62581034E-004  1.83928795E-002  9.99999993E-001
  3.16227766E-010  7.77190717E-004  1.65980872E-002  9.99999999E-001
  3.54813545E-010  6.92180055E-004  1.47911899E-002  1.00000000E+000
  3.98107083E-010  6.08086036E-004  1.29966792E-002  1.00000000E+000
  4.46683690E-010  5.25911817E-004  1.12409855E-002  1.00000000E+000
  5.01187014E-010  4.46876908E-004  9.55181473E-003  1.00000000E+000
  5.62341325E-010  3.72252523E-004  7.95679047E-003  1.00000000E+000
  6.30957622E-010  3.03254096E-004  6.48199393E-003  1.00000000E+000
  7.07945629E-010  2.40942920E-004  5.15012796E-003  1.00000000E+000
  7.94328409E-010  1.86137135E-004  3.97868217E-003  1.00000000E+000
  8.91250547E-010  1.39340956E-004  2.97843408E-003  1.00000000E+000
  1.00000000E-009  1.00688833E-004  2.15225769E-003  1.00000000E+000
  1.12201895E-009  6.99311702E-005  1.49481858E-003  1.00000000E+000
  1.25892514E-009  4.64569108E-005  9.93056529E-004  1.00000000E+000
  1.41253785E-009  2.93604307E-005  6.27615355E-004  1.00000000E+000
  1.58489250E-009  1.75456947E-005  3.75068974E-004  1.00000000E+000
  1.77827941E-009  9.84712365E-006  2.10504721E-004  1.00000000E+000
  1.99526319E-009  5.15063125E-006  1.10110278E-004  1.00000000E+000
  2.23872065E-009  2.48945454E-006  5.32219062E-005  1.00000000E+000
  2.51188698E-009  1.10118849E-006  2.35435303E-005  1.00000000E+000
  2.81838169E-009  4.41025088E-007  9.42981231E-006  1.00000000E+000
  3.16227766E-009  1.58002033E-007  3.37862493E-006  1.00000000E+000
  3.54813545E-009  4.99570497E-008  1.06836921E-006  1.00000000E+000
  3.98107083E-009  1.37310950E-008  2.93690070E-007  1.00000000E+000
  4.46683690E-009  3.22576728E-009  6.90068230E-008  1.00000000E+000
  5.01187014E-009  6.35601544E-010  1.35999790E-008  1.00000000E+000
  5.62341325E-009  1.02845364E-010  2.20118584E-009  1.00000000E+000
  6.30957622E-009  1.33482172E-011  2.85788434E-010  1.00000000E+000
  7.07945629E-009  1.35375796E-012  2.89968244E-011  1.00000000E+000
  7.94328409E-009  1.04205970E-013  2.23325679E-012  1.00000000E+000
  8.91250547E-009  5.89543863E-015  1.26432868E-013  1.00000000E+000
  1.00000000E-008  2.36568660E-016  5.07780252E-015  1.00000000E+000
  1.12201895E-008  6.47556829E-018  1.39145111E-016  1.00000000E+000
  1.25892514E-008  1.15875148E-019  2.49329372E-018  1.00000000E+000
  1.41253785E-008  1.29424262E-021  2.78961813E-020  1.00000000E+000
  1.58489250E-008  8.58825171E-024  1.85511874E-022  1.00000000E+000
