            
            
"#" "Material" "Thickness (cm)" "From-to in radial (cm)" "# Density" "V (neV)" "W_th (neV)" "W_sc (neV)" "W_abs (neV)" "Σ_abs (1/cm)" "Σ_el (1/cm)" "El. scatt. length (cm)" "Abs. Len. (cm)"
1 "D2O" 105 "20 – 125" 3.329E+022 1.669E+02 4.955E-02 4.955E-02 2.959E-06 4.087E-05 6.495E-01 1.540E+00 2.447E+04
2 "Aluminum-27" 3 "125 – 128" 6.026E+022 5.445E+01 7.917E-03 6.909E-03 1.008E-03 1.392E-02 9.057E-02 1.104E+01 7.184E+01
3 "H2O" 150 "128 – 278" 3.343E+022 -1.470E+01 4.308E-01 4.292E-01 1.610E-03 2.224E-02 5.626E+00 1.778E-01 4.497E+01
4 "AISI 304 Stainless" 5 "278 – 283" 8.702E+022 9.190E+02 4.365E-01 3.438E-01 9.270E-02 1.280E+00 4.507E+00 2.219E-01 7.810E-01
5 "Heavy Concrete" 125 "283 – 408" 0.000E+000 -1.893E+03 7.204E+01 3.118E+01 9.630E+00 1.330E+02 4.088E+02 2.446E-03 7.519E-03
6 "H7 Pipe Plug"   -1.000E+000 4.798E+02 8.543E+00 0.000E+00 0.000E+00 2.164E+02 3.342E+02 2.992E-03 4.621E-03
7 "Air" 150 "408 – 558" 2.079E+019 4.672E-02 1.795E-05 1.572E-05 2.231E-06 3.081E-05 2.060E-04 4.854E+03 3.245E+04
8 "Lead" 5 "558 – 563" 3.296E+022 8.120E+01 2.836E-02 2.795E-02 4.081E-04 5.636E-03 2.729E+00 3.664E-01 1.774E+02
9 "Air" 150 "563 – 713" 2.079E+019 4.672E-02 1.795E-05 1.572E-05 2.231E-06 3.081E-05 2.060E-04 4.854E+03 3.245E+04
10 "Lead" 10 "713 – 723" 3.296E+022 8.120E+01 2.836E-02 2.795E-02 4.081E-04 5.636E-03 2.729E+00 3.664E-01 1.774E+02
11 "Air" 106.2 "723 – 829.2" 2.079E+019 4.672E-02 1.795E-05 1.572E-05 2.231E-15 3.081E-05 2.060E-04 4.854E+03 3.245E+04
12 "PE" 10 "829.2 – 839.2" 3.894E+017 -1.704E-04 1.012E-05 1.008E-05 3.771E-17 5.208E-07 1.321E-04 7.570E+03 1.920E+06
13 "Lead" 10 "839.2 – 849.2" 3.296E+022 8.120E+01 2.836E-02 2.795E-02 4.081E-04 5.636E-03 2.729E+00 3.664E-01 1.774E+02
14 "Air" 150 "849.2 – 999.2" 2.079E+019 4.672E-02 1.795E-05 1.572E-05 2.231E-15 3.081E-05 2.060E-04 4.854E+03 3.245E+04
15 "Soft iron" 1 "999.2 – 1000.2" 8.491E+022 2.102E+02 9.101E-02 7.527E-02 1.574E-02 2.174E-01 9.866E-01 1.014E+00 4.601E+00
16 "B4C covering" 0.8 "1000.2 – 1001" 2.747E+022 2.004E+02 6.157E+00 5.555E-02 6.101E+00 8.427E+01 7.282E-01 1.373E+00 1.187E-02
17 "Lead lining" 10 "1001 – 1011" 3.296E+022 8.120E+01 2.836E-02 2.795E-02 4.081E-04 5.636E-03 3.664E-01 2.729E+00 1.774E+02
18 "5% borated PE" 14.7 "1011 – 1025.7" 3.879E+017 1.398E+02 5.634E+00 4.027E-02 5.594E+00 7.726E+01 5.279E-01 1.894E+00 1.294E-02
19 "Mu-metal" 0.15 "1025.7 – 1025.85" 8.991E+022 3.482E+01 2.120E-02 1.716E-02 4.039E-03 5.578E-02 2.250E-01 4.445E+00 1.793E+01
20 "Acrylic (PMMA)" 2.4 "1024.85 – 1027.25" 6.580E+021 -2.001E+01 1.581E-01 1.575E-01 6.024E-04 8.321E-03 2.064E+00 4.844E-01 1.202E+02
21 "GC Scintillator" 36.9 "1027.25 – 1064.15" 1.968E+021 5.081E+01 1.084E+00 1.080E+00 3.990E-03 2.051E-02 2.367E+01 4.224E-02 4.875E+01
 "Linear Alkylbenzene"   1.707E+021 1.820E+00 4.234E-01 4.218E-01 1.571E-03 2.170E-02 5.529E+00 1.809E-01 4.607E+01
 "Phenylxylylethane"   2.831E+021 2.893E+01 3.393E-01 3.381E-01 1.239E-03 1.711E-02 4.432E+00 2.257E-01 5.845E+01
 "Diisopropylnapthalene"   2.430E+021 2.006E+01 3.217E-01 3.206E-01 1.180E-03 1.630E-02 4.202E+00 2.380E-01 6.136E+01
22 "Acrylic (PMMA)" 2.4 "1067.15 – 1069.55" 6.580E+021 -1.990E+01 1.501E-01 1.150E+00 2.150E+00 8.321E-03 2.064E+00 4.844E-01 3.484E+00
23 "Gd-doped Scintillator" 36.9 "1069.55 – 1106.45" 1.970E+021 6.140E+01 4.483E+00 1.410E+00 3.073E+00 8.683E-01 2.367E+01 4.224E-02 1.152E+00
 "Linear Alkylbenzene"   1.707E+021 1.820E+00 4.234E-01 4.218E-01 1.571E-12 2.170E-02 5.529E+00 1.809E-01 4.607E+01
 "Phenylxylylethane"   2.831E+021 2.893E+01 3.393E-01 3.381E-01 1.239E-12 1.711E-02 4.432E+00 2.257E-01 5.845E+01
 "Diisopropylnapthalene"   2.430E+021 2.006E+01 3.217E-01 3.206E-01 1.180E-12 1.630E-02 4.202E+00 2.380E-01 6.136E+01
 "Gd(thd)3"   8.526E+020 1.059E+01 3.398E+00 3.294E-01 3.069E-09 4.239E+01 4.318E+00 2.316E-01 2.359E-02
